"file","id","status","merged_count","oracle_count"
"building_locators.txt","10789","text_mismatch","1","1"
"building_locators.txt","10718","text_mismatch","1","1"
"building_locators.txt","12326","text_mismatch","1","1"
"building_locators.txt","11952","text_mismatch","1","1"
"building_locators.txt","11203","text_mismatch","1","1"
"building_locators.txt","10775","text_mismatch","1","1"
"building_locators.txt","11013","text_mismatch","1","1"
"building_locators.txt","11755","text_mismatch","1","1"
"building_locators.txt","13069","text_mismatch","1","1"
"building_locators.txt","8848","merged_only","1","0"
"building_locators.txt","10567","merged_only","1","0"
"building_locators.txt","7106","merged_only","1","0"
"building_locators.txt","12156","text_mismatch","1","1"
"building_locators.txt","8863","merged_only","1","0"
"building_locators.txt","8854","merged_only","1","0"
"building_locators.txt","10808","merged_only","1","0"
"building_locators.txt","12421","text_mismatch","1","1"
"building_locators.txt","12163","text_mismatch","1","1"
"building_locators.txt","11552","merged_only","1","0"
"building_locators.txt","13109","text_mismatch","1","1"
"building_locators.txt","10788","text_mismatch","1","1"
"building_locators.txt","11904","text_mismatch","1","1"
"building_locators.txt","13003","text_mismatch","1","1"
"building_locators.txt","9316","text_mismatch","1","1"
"building_locators.txt","11133","text_mismatch","1","1"
"building_locators.txt","11015","text_mismatch","1","1"
"building_locators.txt","11532","text_mismatch","1","1"
"building_locators.txt","12423","merged_only","1","0"
"building_locators.txt","10637","text_mismatch","1","1"
"building_locators.txt","11399","text_mismatch","1","1"
"building_locators.txt","10674","text_mismatch","1","1"
"building_locators.txt","11634","merged_only","1","0"
"building_locators.txt","11068","text_mismatch","1","1"
"building_locators.txt","10668","text_mismatch","1","1"
"building_locators.txt","10698","merged_only","1","0"
"building_locators.txt","11737","merged_only","1","0"
"building_locators.txt","383","merged_only","1","0"
"building_locators.txt","11431","text_mismatch","1","1"
"building_locators.txt","10523","text_mismatch","1","1"
"building_locators.txt","12313","text_mismatch","1","1"
"building_locators.txt","12356","merged_only","1","0"
"building_locators.txt","12473","text_mismatch","1","1"
"building_locators.txt","11617","text_mismatch","1","1"
"building_locators.txt","13061","text_mismatch","1","1"
"building_locators.txt","13096","text_mismatch","1","1"
"building_locators.txt","11539","text_mismatch","1","1"
"building_locators.txt","10610","text_mismatch","1","1"
"building_locators.txt","10652","text_mismatch","1","1"
"building_locators.txt","9568","text_mismatch","1","1"
"building_locators.txt","10390","text_mismatch","1","1"
"building_locators.txt","10751","merged_only","1","0"
"building_locators.txt","11445","text_mismatch","1","1"
"building_locators.txt","12010","merged_only","1","0"
"building_locators.txt","11870","text_mismatch","1","1"
"building_locators.txt","13110","text_mismatch","1","1"
"building_locators.txt","10895","text_mismatch","1","1"
"building_locators.txt","8936","merged_only","1","0"
"building_locators.txt","12222","text_mismatch","1","1"
"building_locators.txt","12454","text_mismatch","1","1"
"building_locators.txt","11206","text_mismatch","1","1"
"building_locators.txt","12344","merged_only","1","0"
"building_locators.txt","10758","merged_only","1","0"
"building_locators.txt","11957","text_mismatch","1","1"
"building_locators.txt","11953","text_mismatch","1","1"
"building_locators.txt","12261","text_mismatch","1","1"
"building_locators.txt","8722","text_mismatch","1","1"
"building_locators.txt","9585","text_mismatch","1","1"
"building_locators.txt","11482","merged_only","1","0"
"building_locators.txt","10910","merged_only","1","0"
"building_locators.txt","12023","text_mismatch","1","1"
"building_locators.txt","12560","text_mismatch","1","1"
"building_locators.txt","13115","text_mismatch","1","1"
"building_locators.txt","12015","text_mismatch","1","1"
"building_locators.txt","11477","text_mismatch","1","1"
"building_locators.txt","11828","text_mismatch","1","1"
"building_locators.txt","13006","text_mismatch","1","1"
"building_locators.txt","12509","text_mismatch","1","1"
"building_locators.txt","12076","text_mismatch","1","1"
"building_locators.txt","11574","text_mismatch","1","1"
"building_locators.txt","10522","text_mismatch","1","1"
"building_locators.txt","12014","text_mismatch","1","1"
"building_locators.txt","10904","merged_only","1","0"
"building_locators.txt","11627","merged_only","1","0"
"building_locators.txt","12069","text_mismatch","1","1"
"building_locators.txt","11196","merged_only","1","0"
"building_locators.txt","11229","text_mismatch","1","1"
"building_locators.txt","11619","merged_only","1","0"
"building_locators.txt","11217","text_mismatch","1","1"
"building_locators.txt","12556","text_mismatch","1","1"
"building_locators.txt","11044","text_mismatch","1","1"
"building_locators.txt","9624","text_mismatch","1","1"
"building_locators.txt","11817","merged_only","1","0"
"building_locators.txt","10709","text_mismatch","1","1"
"building_locators.txt","12262","text_mismatch","1","1"
"building_locators.txt","10694","merged_only","1","0"
"building_locators.txt","11600","merged_only","1","0"
"building_locators.txt","11027","text_mismatch","1","1"
"building_locators.txt","10841","text_mismatch","1","1"
"building_locators.txt","8822","merged_only","1","0"
"building_locators.txt","12086","text_mismatch","1","1"
"building_locators.txt","9463","text_mismatch","1","1"
"building_locators.txt","8880","merged_only","1","0"
"building_locators.txt","10377","text_mismatch","1","1"
"building_locators.txt","12110","merged_only","1","0"
"building_locators.txt","10977","text_mismatch","1","1"
"building_locators.txt","11686","text_mismatch","1","1"
"building_locators.txt","11682","merged_only","1","0"
"building_locators.txt","9174","text_mismatch","1","1"
"building_locators.txt","11658","merged_only","1","0"
"building_locators.txt","11210","text_mismatch","1","1"
"building_locators.txt","10536","merged_only","1","0"
"building_locators.txt","11279","text_mismatch","1","1"
"building_locators.txt","10557","merged_only","1","0"
"building_locators.txt","12817","text_mismatch","1","1"
"building_locators.txt","11298","text_mismatch","1","1"
"building_locators.txt","8895","merged_only","1","0"
"building_locators.txt","12281","text_mismatch","1","1"
"building_locators.txt","13123","text_mismatch","1","1"
"building_locators.txt","11362","text_mismatch","1","1"
"building_locators.txt","12194","merged_only","1","0"
"building_locators.txt","11160","text_mismatch","1","1"
"building_locators.txt","12247","text_mismatch","1","1"
"building_locators.txt","11874","text_mismatch","1","1"
"building_locators.txt","12967","text_mismatch","1","1"
"building_locators.txt","13116","text_mismatch","1","1"
"building_locators.txt","12212","text_mismatch","1","1"
"building_locators.txt","10438","text_mismatch","1","1"
"building_locators.txt","10424","text_mismatch","1","1"
"building_locators.txt","12140","merged_only","1","0"
"building_locators.txt","12183","text_mismatch","1","1"
"building_locators.txt","12420","text_mismatch","1","1"
"building_locators.txt","10598","merged_only","1","0"
"building_locators.txt","11164","text_mismatch","1","1"
"building_locators.txt","8832","merged_only","1","0"
"building_locators.txt","8769","merged_only","1","0"
"building_locators.txt","13087","text_mismatch","1","1"
"building_locators.txt","11999","text_mismatch","1","1"
"building_locators.txt","11138","text_mismatch","1","1"
"building_locators.txt","11128","text_mismatch","1","1"
"building_locators.txt","10341","text_mismatch","1","1"
"building_locators.txt","12932","text_mismatch","1","1"
"building_locators.txt","10721","text_mismatch","1","1"
"building_locators.txt","11141","text_mismatch","1","1"
"building_locators.txt","12061","text_mismatch","1","1"
"building_locators.txt","10706","merged_only","1","0"
"building_locators.txt","11012","text_mismatch","1","1"
"building_locators.txt","10746","text_mismatch","1","1"
"building_locators.txt","11489","text_mismatch","1","1"
"building_locators.txt","9558","text_mismatch","1","1"
"building_locators.txt","10405","text_mismatch","1","1"
"building_locators.txt","8879","merged_only","1","0"
"building_locators.txt","11447","text_mismatch","1","1"
"building_locators.txt","8866","merged_only","1","0"
"building_locators.txt","9333","text_mismatch","1","1"
